name,url
SwissGroove,http://relay1.swissgroove.ch:80
Nightride FM (Synthwave / Outrun),https://stream.nightride.fm/nightride.mp3
Nightride FM — Chillsynth,https://stream.nightride.fm/chillsynth.mp3
Nightride FM — Datawave (Glitchy Retro Computing / IDM),https://stream.nightride.fm/datawave.mp3
Nightride FM — Darksynth (Cyberpunk / Synthmetal),https://stream.nightride.fm/darksynth.mp3
Nightride FM — Spacesynth (Space Disco / Italo),https://stream.nightride.fm/spacesynth.mp3
Nightride FM — Horrorsynth,https://stream.nightride.fm/horrorsynth.mp3
Nightride FM — EBSM (Industrial / Electronic Body Synth Music),https://stream.nightride.fm/ebsm.mp3
Rekt Network — Rekt (Drum & Bass / EDM),https://stream.nightride.fm/rekt.mp3
Rekt Network — Rektory (1930s Fallout-style Jazz),https://stream.nightride.fm/rektory.mp3
SomaFM — Groove Salad,http://ice5.somafm.com/groovesalad-128-mp3
SomaFM — Drone Zone,http://ice5.somafm.com/dronezone-128-mp3
SomaFM — Deep Space One,http://ice5.somafm.com/deepspaceone-128-mp3
SomaFM — Space Station Soma,http://ice5.somafm.com/spacestation-128-mp3
SomaFM — The Dark Zone,http://ice5.somafm.com/darkzone-128-mp3
SomaFM — Beat Blender,http://ice5.somafm.com/beatblender-128-mp3
SomaFM — Vaporwaves,http://ice5.somafm.com/vaporwaves-128-mp3
SomaFM — Underground 80s,http://ice5.somafm.com/u80s-128-mp3
SomaFM — Lush,http://ice5.somafm.com/lush-128-mp3
SomaFM — The Trip,http://ice5.somafm.com/thetrip-128-mp3
SomaFM — Suburbs of Goa,http://ice5.somafm.com/suburbsofgoa-128-mp3
SomaFM — DEF CON Radio,http://ice5.somafm.com/defcon-128-mp3
SomaFM — Mission Control,http://ice5.somafm.com/missioncontrol-128-mp3
SomaFM — Secret Agent,http://ice5.somafm.com/secretagent-128-mp3
SomaFM — Indie Pop Rocks!,http://ice5.somafm.com/indiepop-128-mp3
Funky Radio (Classic Uncut Funk) — 320kbps MP3,https://funkyradio.streamingmedia.it/play.mp3
Funky Radio (Classic Uncut Funk) — 192kbps AAC,https://funkyradio.streamingmedia.it/audio.aac
